ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
Baltimore Ave & Rossborough Ln,Zebra Stripe,Yes,164.041666666666657,178,1175.000979099480446,108770.238160501859966,13.000000000000000,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,178
Knox Rd & Baltimore Ave,Zebra Stripe,Yes,164.041666666666657,193,1129.838964641101484,101274.557645346998470,19.000000000000000,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,193
Baltimore Ave & Hartwick Rd,Zebra Stripe,Yes,164.041666666666657,198,1199.423077715169939,112945.968525025702547,17.500000000000000,0.707106781,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,198
,,,164.041666666666657,306,1081.139328861951071,92904.316083471101592,16.000000000000000,9.899494936611665,19.000000000000000,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,306
,,,164.041666666666657,314,1113.825272397236176,98444.766899840018596,12.000000000000000,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,314
Rhode Island Ave & Paducah Rd,Zebra Stripe,No,164.041666666666657,2,1129.851495790304625,101050.495539253737661,15.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,2
,,,164.041666666666657,14,1134.889956208234707,101959.384587896478479,23.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,14
,,,164.041666666666657,34,1150.408826161985871,104546.643190629969467,20.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,34
Rhode Island Ave & Cherokee St,Zebra Stripe,RRFB,164.041666666666657,37,1122.024418740879128,99798.678436718008015,8.000000000000000,0,54.000000000000000,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,37
,,,164.041666666666657,51,1118.289347047352976,99229.197140172167565,16.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,51
,,,164.041666666666657,70,1090.614531163021638,94488.813692743220599,17.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,70
Ikea Center Blvd & Ikea Way,Zebra Stripe,No,164.041666666666657,86,1102.100281719361647,96402.710685925514554,12.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,86
Baltimore Ave & SB Cap Belt Hwy,Zebra Stripe,No,164.041666666666657,99,1084.955169847521120,93569.064847591158468,7.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,99
Baltimore Ave & SB Cap Belt Hwy,Zebra Stripe,No,164.041666666666657,100,1151.337646729794187,104814.086505874831346,7.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,100
,,,164.041666666666657,108,1107.730405485937808,97399.184815608721692,7.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,108
Metzerott Rd,Zebra Stripe,RRFB,164.041666666666657,110,1118.361447367605933,99214.913176817673957,19.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,110
,,,164.041666666666657,111,1121.185175511595617,99721.875231702273595,4.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,111
,,,164.041666666666657,122,1224.452542994496753,116934.027722065569833,19.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,122
,,,164.041666666666657,123,1240.526178916708659,119830.421059638058068,15.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,123
,,,164.041666666666657,129,1084.453445588074828,93490.126997603816562,19.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,129
,,,164.041666666666657,136,1106.563111892470033,97247.445082852776977,6.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,136
,,,164.041666666666657,146,1196.432870656931755,112290.391177647630684,8.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,146
,,,164.041666666666657,147,1175.984502260052750,108796.492912223024177,8.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,147
Baltimore Ave & Lakeland Rd,Zebra Stripe,Yes,164.041666666666657,164,1144.416540973434621,103527.649863689512131,14.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,164
Baltimore Ave & Fraternity Row,Zebra Stripe,Yes,164.041666666666657,180,1097.290232822627331,95656.729104650585214,14.000000000000000,0,21.000000000000000,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,180
Baltimore Ave & College Ave,Zebra Stripe,Yes,164.041666666666657,183,1120.960029778491162,99718.375338840924087,7.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,183
Baltimore Ave & Calvert Rd,Zebra Stripe,Yes,164.041666666666657,200,1191.047061658479151,111580.070570806536125,12.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,200
,,,164.041666666666657,255,1117.636296756210186,99128.034478217392461,11.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,255
,,,164.041666666666657,258,1093.003603613058885,94884.977688447892433,10.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,258
,,,164.041666666666657,263,1100.211029777340400,96153.743939765408868,9.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,263
Lakeland Rd & Rhode Island Ave,,,164.041666666666657,275,1151.775978133627405,104923.022904641882633,18.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,275
49th Ave & Berwyn Rd,Piano Key,No,164.041666666666657,294,1097.979860870869516,95751.662222325321636,7.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,294
Rhode Island Ave & Berwyn Rd,Piano Key,No,164.041666666666657,296,1110.387515110833419,97783.012144723194069,7.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,296
Tecumseh St & Rhode Island Ave,Piano Key,No,164.041666666666657,302,1099.680013799091739,96083.174658689458738,16.000000000000000,0,,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,302
,,,164.041666666666657,313,1111.718227806012237,98061.916905826365110,16.000000000000000,0,21.000000000000000,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,313
,,,164.041666666666657,315,1138.718746272551243,102684.515241497370880,16.000000000000000,0,18.000000000000000,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,315
,,,164.041666666666657,329,1114.590284437269247,98566.470399860758334,8.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,329
Knox Rd,Piano Key,No,164.041666666666657,331,1119.468810152830883,99399.541034278285224,19.000000000000000,0,26.000000000000000,1,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,331
Rhode Island Ave & Fox St,Piano Key,RRFB,164.041666666666657,332,1127.852943546357892,100805.355970273056300,14.000000000000000,0,,1,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,332
Rhode Island Ave & Odessa Rd,Zebra Stripe,RRFB,164.041666666666657,3,1133.404210612947509,101672.923668404677301,,,,0,,,,,3
,,,164.041666666666657,6,1128.110257828450813,100791.830807058504433,,,,0,,,,,6
,,,164.041666666666657,9,1095.494799670398152,95330.386606045241933,,,,0,,,,,9
,,,164.041666666666657,13,1138.245476910582283,102538.100328521031770,,,,0,,,,,13
,,,164.041666666666657,15,1115.848078752841957,98770.222032541743829,,,,0,,,,,15
,,,164.041666666666657,17,1112.051794401553025,98141.480710469390033,,,,0,,,,,17
,,,164.041666666666657,21,1122.639513518751755,99970.385550166087341,,,,0,,,,,21
,,,164.041666666666657,23,1121.394379264993631,99678.282876491124625,,,,0,,,,,23
,,,164.041666666666657,26,1139.524661084871013,102683.840175961668137,,,,0,,,,,26
,,,164.041666666666657,30,1097.478817343356241,95617.118964124209015,,,,0,,,,,30
Rhode Island Ave & Muskogee St,Zebra Stripe,RRFB,164.041666666666657,31,1125.949303060554939,100426.543427276716102,,,,0,,,,,31
,,,164.041666666666657,32,1100.257357681578696,96180.457937264363864,,,,0,,,,,32
,,,164.041666666666657,33,1115.274042067680057,98656.139984516470577,,,,0,,,,,33
,,,164.041666666666657,83,1228.479808505243454,117727.343804050367908,,,,0,,,,,83
,,,164.041666666666657,85,1100.491983838906890,96141.909430951098329,,,,0,,,,,85
,,,164.041666666666657,101,1134.424790934955126,101881.455786986480234,,,,0,,,,,101
,,,164.041666666666657,102,1134.336865243855982,101870.302217534161173,,,,0,,,,,102
,,,164.041666666666657,103,1130.420271193537701,101205.631249352052691,,,,0,,,,,103
,,,164.041666666666657,104,1159.500595394561969,106077.515485538635403,,,,0,,,,,104
,,,164.041666666666657,105,1113.791412203142499,98396.037419422267703,,,,0,,,,,105
,,,164.041666666666657,106,1165.787049025958140,107149.930352824463625,,,,0,,,,,106
,,,164.041666666666657,107,1120.025378764060406,99447.607020134702907,,,,0,,,,,107
,,,164.041666666666657,109,1110.687497497576715,97900.146415422786959,,,,0,,,,,109
,,,164.041666666666657,112,1119.890641645066353,99489.447142736215028,,,,0,,,,,112
,,,164.041666666666657,113,1122.013502216886309,99851.795591766334837,,,,0,,,,,113
,,,164.041666666666657,114,1120.538335549124668,99594.205183245343505,,,,0,,,,,114
,,,164.041666666666657,115,1137.305959400566053,102322.323717598570511,,,,0,,,,,115
,,,164.041666666666657,130,1148.176277517304243,104237.220167917010258,,,,0,,,,,130
,,,164.041666666666657,131,1192.830290174463698,111761.622852544373018,,,,0,,,,,131
,,,164.041666666666657,132,1148.968475103823948,104361.157526611990761,,,,0,,,,,132
