,ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
158,Melbourne Pl & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,159,1133.6948942168715,101774.65973338841,15.25,4.349329450233296,,4,Injury Crashes,Property Damage Crashes,25.0,75.0,159
123,,,,164.04166666666663,124,1122.0117982797212,99831.95535636404,17.0,1.632993161855452,,4,Property Damage Crashes,Property Damage Crashes,100.0,100.0,124
35,Rhode Island Ave & Fox St,Piano Key,RRFB,164.04166666666663,36,1127.8529435455016,100805.35596985611,16.0,1.414213562373095,,4,Injury Crashes,Property Damage Crashes,25.0,75.0,36
201,Baltimore Ave & Guilford Dr,Zebra Stripe,Yes,164.04166666666663,202,1199.9600839788739,113279.43457443536,15.5,2.380476142847617,,4,Property Damage Crashes,Property Damage Crashes,100.0,100.0,202
155,Navahoe St & Baltimore Ave,Zebra Stripe,No,164.04166666666663,156,1142.0815134520835,103129.9591789081,18.33333333333333,5.033222956847166,,3,Property Damage Crashes,Injury Crashes,33.33333333333333,66.66666666666666,156
147,,,,164.04166666666663,148,1144.5659553487787,103724.74210691504,19.33333333333333,1.527525231651947,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,148
150,,,,164.04166666666663,151,1114.1807678508353,98480.5121875463,17.0,6.0,23.0,3,Injury Crashes,Injury Crashes,100.0,100.0,151
186,,,,164.04166666666663,187,1084.9461831447707,93563.92970375376,7.666666666666667,3.055050463303893,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,187
148,Baltimore Ave & Berwyn Rd,Zebra Stripe,Yes,164.04166666666663,149,1160.4272205216944,106301.79589280285,11.666666666666666,1.527525231651947,25.0,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,149
188,Lehigh Rd & Baltimore Ave,Piano Key,No,164.04166666666663,189,1089.7381961991366,94394.60969595672,10.333333333333334,5.033222956847166,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,189
260,,,,164.04166666666663,261,1118.3381493163213,99225.99799412451,12.0,4.358898943540674,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,261
259,,,,164.04166666666663,260,1102.9062808994142,96620.51777502835,12.0,4.358898943540674,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,260
258,,,,164.04166666666663,259,1116.3796778553858,98892.97722895903,12.0,4.358898943540674,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,259
193,Baltimore Ave & Knox Rd,Zebra Stripe,Yes,164.04166666666663,194,1201.3909199865248,113363.26986132248,19.0,4.0,26.0,3,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,194
59,,,,164.04166666666663,60,1087.6447320382158,94020.73383271277,9.333333333333334,5.507570547286102,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,60
191,Baltimore Ave & Knox Rd,Zebra Stripe,Yes,164.04166666666663,192,1201.5747953127884,113397.50522096612,19.0,4.0,26.0,3,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,192
190,Knox Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,191,1140.1880091517412,102969.7279922536,19.0,4.0,26.0,3,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,191
189,Lehigh Rd & Baltimore Ave,Piano Key,No,164.04166666666663,190,1117.54000997731,99092.47967064111,10.333333333333334,5.033222956847166,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,190
187,,,,164.04166666666663,188,1092.334998745854,94854.0080705034,7.666666666666667,3.055050463303893,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,188
149,Berwyn Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,150,1127.371129855257,100706.0735726918,11.666666666666666,1.527525231651947,25.0,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,150
185,Baltimore Ave & College Ave,Zebra Stripe,Yes,164.04166666666663,186,1134.6203187596486,102024.068525781,7.666666666666667,3.055050463303894,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,186
79,,,,164.04166666666663,80,1177.1800848332207,109173.20254886735,17.333333333333332,4.163331998932266,,3,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,80
183,College Ave & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,184,1202.3010830768912,113481.48093436233,7.666666666666667,3.055050463303894,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,184
3,Rhode Island Ave & Niagara Rd,Zebra Stripe,No,164.04166666666663,4,1111.1456183940563,97956.63128705948,13.0,11.135528725660045,,3,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,4
261,,,,164.04166666666663,262,1107.0053510561957,97319.23485402337,12.0,4.358898943540674,,3,Property Damage Crashes,Property Damage Crashes,100.0,100.0,262
303,,,,164.04166666666663,304,1130.3148360651899,101138.6186030622,16.0,9.899494936611664,19.0,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,304
307,,,,164.04166666666663,308,1135.0710721993123,101916.71802438168,16.0,9.899494936611664,19.0,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,308
306,,,,164.04166666666663,307,1098.3832276453738,95789.236779862,16.0,9.899494936611664,19.0,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,307
305,,,,164.04166666666663,306,1081.139328861951,92904.3160834711,16.0,9.899494936611664,19.0,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,306
304,,,,164.04166666666663,305,1084.067709951404,93400.61454912095,16.0,9.899494936611664,19.0,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,305
313,,,,164.04166666666663,314,1113.825272397236,98444.76689984,12.0,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,314
176,Rossborough Ln & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,177,1126.1463898402567,100512.31558949318,13.0,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,177
197,Baltimore Ave & Hartwick Rd,Zebra Stripe,Yes,164.04166666666663,198,1199.42307771517,112945.9685250257,17.5,0.707106781186548,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,198
196,Hartwick Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,197,1138.6738674723304,102719.49350556955,17.5,0.707106781186548,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,197
171,Rossborough Ln & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,172,1184.6968141203267,110395.0618066636,13.0,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,172
