Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Pedestrian,367e2a0e-a209-4fe1-928a-5e39fab82574,CB55650059,100,Cross/Enter at Intersection,65,ELLICOTT CITY,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,F,01,No,02,Suspected Serious Injury,03,Intersection – Other,99,Unknown,MD,b87d3042-f8c4-4ecd-8b07-7875aad20303,06,N,21043
"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",8788d99d-6b0a-4a5a-b56c-504b5ea384bd,CT8271002P,100,Cross/Enter at Intersection,21,UNK,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,5ab9eccc-47a6-447e-8061-077f52b1ad2f,07,N,21842
Cyclist (non-electric),2c1ddbf6-af2d-4d9b-a6db-30765e1e790d,ADK9330013,100,Cross/Enter at Intersection,30,BALTIMORE,12,Front,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,c99c4c10-6b0c-406b-a805-0b454d3cccd8,101,N,21224
Pedestrian,bbbd337a-003e-4500-b61a-7701bf8f86a1,AE68500006,101,Cross/Enter Not at Intersection,21,BALTIMORE,12,Front,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,21f9f441-9b87-49d0-859f-632b21fd8915,06,N,21209
Pedestrian,dfab8532-7bdc-4108-8f46-4f481949217f,ZA05470028,105,Other Working,61,CUMBERLAND,12,Front,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,98,Other,99,Unknown,MD,32d7bcca-9b51-46fa-8d4c-d3790855b2e7,06,N,21502
Pedestrian,27e3e854-8d9a-4954-95b7-c459426be443,ZR0421000Q,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),46,BEL ALTON,12,Front,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,cf7c7849-fdd6-4f36-83ba-fc6656d3168f,06,N,20611
Pedestrian,3fd9206d-56fb-444c-8d5e-30dd06c76f3d,ADK878002Q,100,Cross/Enter at Intersection,75,BALTIMORE,99,Unknown,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9124dff2-0fb5-4882-b58b-fb5e6fde8a8b,06,N,21215
Pedestrian,8b410723-72b4-4986-b7aa-6ca0aa1d5361,AE4401019N,101,Cross/Enter Not at Intersection,25,BALTIMORE,99,Unknown,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,cd1c6548-f612-4182-886e-185a6708a0e6,06,N,21224
Pedestrian,8723d578-787b-4c99-b2b4-d643ea3eda12,MCP3213001X,99,Unknown,15,ROCKVILLE,99,Unknown,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,38ac4b36-eb3b-4532-a292-87476b7510c7,06,N,20851
Unknown Type Of Non-Motorist,c996e167-9ef6-4503-984b-79fd11dc4034,DA4320001R,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),43,MORNINGSIDE,99,Unknown,00,Not Distracted,,,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,6a42713b-29a9-49cd-a0c0-5878d59285c7,09,N,20746
Pedestrian,0a76f700-b32f-4c17-9432-b228029312ad,MCP3351002D,100,Cross/Enter at Intersection,64,SILVER SPRING,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,cd6702ed-56fb-41c4-bd05-d9cee56380d2,06,N,20904
Pedestrian,c7ac8100-a65c-4312-b1a2-1a17d7a4fc61,RD0119003Q,100,Cross/Enter at Intersection,54,SILVER SPRING,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,e50a10ca-103b-4029-b2de-f515e979a9ad,06,N,20904
Pedestrian,7a7d6268-9d55-4f99-b346-bcdaca965fe3,DA4337002L,98,Other,38,ADELPHI,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,629c46f8-d4fd-4795-b799-4644cb79ae1f,06,N,20783
Pedestrian,069d76f4-3cc2-4035-884a-db2bf25d009b,DA4235007F,99,Unknown,30,SILVER SPRING,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,98,Other,99,Unknown,MD,72e3dd5a-263f-4d2b-8780-f5bebb241b45,06,N,20903
Pedestrian,86778795-5a4a-47ed-9602-f14caa5b552a,ADK891001N,99,Unknown,66,CRISFIELD,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,98,Other,99,Unknown,MD,3e584495-84f0-4709-b48a-a04c4db9b9e5,06,N,21817
Pedestrian,0871b3fe-fcec-46f7-9f7d-28732f1f85a1,DA4346001Q,99,Unknown,22,CAPITOL HEIGHTS,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,99,Unknown,99,Unknown,MD,7253661d-b5ca-4484-9360-cc3969d22024,06,N,20743
Pedestrian,7ec86f20-b6db-4bdb-b284-5b983c5992cb,CB60090044,99,Unknown,29,JESSUP,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,99,Unknown,99,Unknown,MD,04de18c6-ffce-4774-8d7d-c150aff80e10,06,N,20794
Pedestrian,a11f384f-1852-4ece-9812-5bc7030dcb26,ADK501004W,99,Unknown,29,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,99,Unknown,99,Unknown,MD,98dc3a87-05c4-42a0-9f2a-ccf0516edb7c,06,N,21207
Scooter (electric),e8619079-d6cf-417a-adad-710f056703d6,ADK952000H,99,Unknown,21,NY,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,99,Unknown,99,Unknown,NM,660ec402-44f1-4f65-abe0-bc73555b6eb9,102,N,10019
Pedestrian,a346d098-914d-4ca3-88ee-3e20ba98a5da,DA418000BK,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),58,FT WASHINGTON,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,4d083ed4-f90d-4e38-94af-8b7278c14638,06,N,20744
Cyclist (non-electric),91478222-dd9d-4121-9f64-d80aafb3a56d,CB6430001D,07,Walking/Cycling on Sidewalk,18,ELLICOTT CITY,99,Unknown,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,6fe90d73-8aa1-4b4e-9e65-0e09a9fe8880,101,N,21092
Pedestrian,f470fa1a-c27b-4fe5-92bd-4b1204d406de,DA43430018,99,Unknown,19,BELTSVILLE,99,Unknown,99,Unknown,99,Unknown,F,02,EMS,02,Suspected Serious Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,31b1b122-8772-4189-8e3b-732ea6e4436c,06,N,20705
Pedestrian,09931a69-e489-47ed-8792-901ee04ceb69,ADK850001P,100,Cross/Enter at Intersection,67,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,F,04,Police,02,Suspected Serious Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,8b00d480-b708-4185-8c9b-6dccc38c1e72,06,N,21215
Pedestrian,095f4b5c-dfd8-4d4a-88d5-3b7f6d0e482b,ADK9710006,101,Cross/Enter Not at Intersection,55,GWYNN OAK,99,Unknown,99,Unknown,99,Unknown,F,04,Police,02,Suspected Serious Injury,98,Other,99,Unknown,MD,2c793098-afef-4b15-8fb9-147f3394f951,06,N,21207
Pedestrian,03d2eb66-755e-4e23-af0e-a9f8a2af63e2,AE6783000K,100,Cross/Enter at Intersection,13,DUNDALK,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9440589b-f587-49f7-b0fd-c737a5b67f1b,06,N,21222
Pedestrian,9dc59e83-dc46-46ad-b540-32c4bcfdc5ed,AE478700YT,100,Cross/Enter at Intersection,14,PARKVILLE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,d2968bb6-0e27-4fea-bbd2-b7620f2212f0,06,N,21234
Pedestrian,666d3ea2-00c7-497d-9c86-03a8f95a2869,MCP33870011,100,Cross/Enter at Intersection,15,BURTONSVILLE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,43cf10f3-116e-4d1c-a526-0166f7b6ee19,06,N,20866
Pedestrian,be68c93e-b552-4ba4-bd46-745d8085e37d,MCP3404000L,100,Cross/Enter at Intersection,26,ADELPHI,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,367ba777-47fc-4653-b89b-d2dd58c172c9,06,N,20783
Pedestrian,c4dde296-ef32-4a9c-b025-b6940e59029d,MCP2231007W,100,Cross/Enter at Intersection,29,GAITHERSBURG,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,ad64cb0b-a51d-41ca-af2f-0e7c7ee230b4,06,N,20878
Pedestrian,0d60b89f-22b3-4d8d-afb1-bdbeb27506af,MCP3292002G,100,Cross/Enter at Intersection,40,GAITHERSBURG,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,6ef9735d-17dd-4a5c-9930-523dcf94036d,06,N,20877
Pedestrian,332b449b-8a07-4539-a5cf-4ae632769646,MCP3222002V,100,Cross/Enter at Intersection,47,BETHESDA,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9c836bf4-7a27-4a14-884e-d6f681d07a9a,06,N,20817
Pedestrian,aa5ed32e-07bc-4e07-aaca-c3856e30d7ac,EJ79040016,100,Cross/Enter at Intersection,77,POTOMAC,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,f7a1c257-8c49-45ab-b9ac-195d33c09252,06,N,20854
Pedestrian,72185cf7-8b2b-413d-bf95-e2248555c32f,MCP3407000K,100,Cross/Enter at Intersection,69,GERMANTOWN,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,eb954267-64de-409d-a861-0c68d5a107e6,06,N,20874
Pedestrian,8d340cc1-37eb-4cb0-a237-207656da7156,AE62060074,101,Cross/Enter Not at Intersection,61,BALTIMORE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,e63e24dc-ba57-4ebb-9caa-7994a2f20d78,06,N,21221
Pedestrian,b6155f11-3e51-4c28-ba8d-57341a488427,AE6179006Y,00,None,19,DUNDALK,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,a3450bc8-5941-41bc-991e-4140038075c8,06,N,21222
Occupant of Motor Vehicle Not in Transport,08b706a9-91d3-4ee6-a008-26f077e529ec,MCP32080053,104,Push/Work on Vehicle,35,WESTMINSTER,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,78374ff5-68df-4741-9311-1be2e8b35528,103,N,21157
Pedestrian,0d6b4f7d-939f-44d5-ad0d-296c88fbc8ea,ADK9720007,102,Standing,34,BALTIMORE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,109b825a-9af4-469b-a693-e0652a87af50,06,N,21206
Pedestrian,1caaed06-f26a-46ce-976d-5afd5b70d79e,DD5643004V,99,Unknown,35,GERMANTOWN,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,382e408a-023c-433f-8d1a-9f1c4df3ba80,06,N,20874
Cyclist (non-electric),c4ac874b-e6a2-454c-bfc9-6f86c26c69cf,BS0462001W,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),29,FREDERICK,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,c470f964-6d82-4a01-99ea-bec0359907e6,101,N,21701
Pedestrian,83a62cd4-376c-41db-8851-9c7410ee047a,ADK528001Q,07,Walking/Cycling on Sidewalk,33,TOWSON,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,5d71e4f1-790e-4be3-917b-dd177f4fb062,06,N,21204
Pedestrian,a9c6c030-532d-43f4-9d68-6da1314eed3b,ADK955000Y,100,Cross/Enter at Intersection,75,BALTIMORE,03,Right,00,Not Distracted,,,F,02,EMS,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,d58d882c-d5f2-475a-8b80-e19adedfce50,06,N,21212
Pedestrian,34ea7de3-b7f2-444d-be97-dee742c00e76,ADK657001C,100,Cross/Enter at Intersection,35,BALTIMORE,03,Right,00,Not Distracted,,,F,02,EMS,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,2e5a2464-f39e-4668-ad0f-7c0d9b5897b7,06,N,00000
Pedestrian,44cd431c-ca60-4459-bca4-8a27dc55e905,DV03020006,103,Getting Off/On Vehicle,53,MOUNT AIRY,03,Right,00,Not Distracted,,,F,02,EMS,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,7f93da51-d749-474b-b722-5e1e978ae243,06,N,21771
Pedestrian,7f9346ed-7717-4a76-8bca-9170989ef1b5,ADK609003D,100,Cross/Enter at Intersection,34,BALTIMORE,03,Right,01,Talking/listening,02,Hand-Held Mobile Phone,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9283f6b9-7956-4a48-85b9-d9984321ed4a,06,N,21215
Pedestrian,5cc5bb5e-71e3-4a4e-8da5-6e80084aae3d,DS05240008,98,Other,21,WAKE FOREST,03,Right,03,"Other Action (looking away from task, etc.)",02,Hand-Held Mobile Phone,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,NC,64b522cc-4dd8-44b1-82a4-6532c53cfa4f,06,N,27587
Pedestrian,b1ba763e-9009-4232-99dc-994dea2d202d,BD0252002V,101,Cross/Enter Not at Intersection,4,CUMBERLAND,03,Right,03,"Other Action (looking away from task, etc.)",05,Passenger/Other Non-Motorist,F,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,cbced127-b4b2-4e80-8fdf-7eaacc9521d7,06,N,21502
Cyclist (Electric),15b4fef1-6fbe-4e25-96a8-0d450337ae09,ZUB935000Z,101,Cross/Enter Not at Intersection,29,HAGERSTOWN,03,Right,03,"Other Action (looking away from task, etc.)",99,Unknown,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,783435f5-5a32-4aec-84ae-48827db7cc78,100,N,21742
Pedestrian,a45809fc-35f9-41d3-aa7e-6a947538ddc6,MSP597900HV,100,Cross/Enter at Intersection,25,SALISBURY,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,23595bc2-2d1d-4044-9261-d28ee5ae77ed,06,N,21804
Pedestrian,acb676d7-5c73-4e83-9b89-251e0bd77586,MCP3341003K,100,Cross/Enter at Intersection,67,SILVER SPRING,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,2f2317b7-2297-49c5-9907-f6679133555f,06,N,20906
Pedestrian,c2aa7afe-e743-44a9-b370-24d7bb7580e7,AE5695005Q,100,Cross/Enter at Intersection,70,TOWSON,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,e3143af8-eebc-4a6b-b9fe-1f8b6581c7c3,06,N,21286
Pedestrian,c7dfc457-d415-4fcd-b623-f98e63a5726a,ADK683002M,100,Cross/Enter at Intersection,13,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,8b3273fe-80fd-47ee-a60d-27e5474ca4b6,06,N,21216
Unknown Type Of Non-Motorist,694fd672-e94a-49c6-b23b-47fa92294155,ADK6490052,100,Cross/Enter at Intersection,25,LAUREL,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,b771e3e3-9d06-48a0-8a10-1962b363f6af,09,N,20724
Pedestrian,b6b90563-70c9-4755-b29b-41c97ef12422,DA3161008B,101,Cross/Enter Not at Intersection,15,ADELPHI,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,5cff3df6-e018-4449-9730-ca4daacf218c,06,N,20783
Pedestrian,cfbc023a-c952-4fc9-91e0-b60091954dae,AE65360010,101,Cross/Enter Not at Intersection,38,GLEN BURNIE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,aea588e7-be1b-42e1-989a-10aeb4b78248,06,N,21060
Scooter (electric),5840a584-db29-4afc-ba73-76dedbbbc6ea,MCP9318003K,98,Other,16,SILVER SPRING,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,05,Midblock – Marked Crosswalk,99,Unknown,MD,8a6db493-ec09-4a20-b6df-817ca41ed240,102,N,20901
Pedestrian,05833314-ba57-4dde-8c7e-0fb1a886ff15,MCP29300052,99,Unknown,62,ROCKVILLE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,89ce687b-7a84-4344-b654-2b9d1ed92331,06,N,20850
Unknown Type Of Non-Motorist,dccffbde-3684-4187-ad65-9ad5ce45cfaf,ADK237001Z,99,Unknown,23,CAPITOL HEIGHTS,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,15,Non-Trafficway Area,99,Unknown,MD,eadb8033-5654-469f-a57b-eaa5c3b7d18c,09,N,20743
Pedestrian,42f6ce15-07fb-43b9-9bb4-93bedc30d154,AE6283003K,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),37,HALETHORPE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,44228a76-10f1-44b2-b189-2ac3f698419b,06,N,21227
Cyclist (non-electric),00ac9490-c1b1-4369-9889-e79def8b66ae,BX5551004L,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),10,HAGERSTOWN,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,a22d7801-8e7d-408d-b0ea-d455a939b943,101,N,21740
Cyclist (non-electric),c36502d6-926b-4522-97ea-8e77e57d3813,ADK643001V,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),56,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,18892a67-329b-4cf7-bb5b-bacbb3814010,101,N,21229
Scooter (non-Electric),c889065a-994a-4be2-a20e-8abd6294fb5f,AE67470022,07,Walking/Cycling on Sidewalk,59,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,b8f49867-677b-4242-8729-42635b9db424,10,N,21234
Pedestrian,7b01be82-2232-4e0f-81c4-e7afe7243a73,ADK6550026,100,Cross/Enter at Intersection,10,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,02,EMS,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3e62b557-942e-4a03-a3f7-c32ee30b2189,06,N,21229
Pedestrian,7f66b205-1da8-4397-8c5c-02dcd53ff7f7,ADK7290026,99,Unknown,33,GREENSBORO,03,Right,99,Unknown,99,Unknown,F,02,EMS,03,Suspected Minor Injury,15,Non-Trafficway Area,99,Unknown,NC,5ed414cd-60c5-44c6-a5fa-af14911dc161,06,N,27407
Unknown,47471b9f-3a93-4a4a-93a5-3f10d3dcac48,ADK6550029,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),7,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,02,EMS,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9d9d344d-cf4e-4415-8d2f-c198eecfdcc9,99,N,21229
Pedestrian,868f2a4e-9388-4ceb-b294-6d27400f4439,ADK729002L,100,Cross/Enter at Intersection,16,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,04,Police,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,a30620e4-e465-41a8-8077-86e4b501f3fb,06,N,21206
Pedestrian,a874cf37-d237-43c4-b334-3cccace3b5bd,ADK588002F,100,Cross/Enter at Intersection,13,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,04,Police,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,d3f4db8b-33ec-42ba-aba1-73bccf88ef07,06,N,21223
Pedestrian,d48e940b-f708-4776-903e-f0f4a87760d0,ADK343001W,100,Cross/Enter at Intersection,17,BALTIMORE,03,Right,99,Unknown,99,Unknown,F,04,Police,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,234b1bde-62c4-49e9-a357-91a2c6aa54cc,06,N,21212
Pedestrian,fc21503b-ed44-4263-ab5a-e1bf6c39ffcc,DA4341001R,00,None,39,WASHINGTON,06,Rear,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,DC,5929f215-1788-42dd-99d9-55aa54dd32b7,06,N,20032
Scooter (electric),7b34d79a-6a9f-49ba-b71a-ed9de68beb18,ADK497002L,98,Other,18,BALTIMORE,06,Rear,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,cb2901d4-3247-4342-8c31-125f5279806a,102,N,21206
Pedestrian,6c1f1366-e3e3-44c2-9e93-e0c93bb99b12,DA4380001L,102,Standing,76,FT WASHINGTON,06,Rear,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,8ecdd12f-d20a-43ea-af4e-5346bd12e222,06,N,20744
Pedestrian,6a19bb99-7134-433e-8316-51af196705cb,DA3501002L,07,Walking/Cycling on Sidewalk,60,OXON HILL,06,Rear,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,1556eb6f-0b2e-4077-99d2-59311a15ba9c,06,N,20745
Pedestrian,bfe836a7-d949-4199-a995-dfa88dc485dd,MCP2445005S,100,Cross/Enter at Intersection,15,GERMANTOWN,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,bc3ece15-bf85-40d6-9db3-2033135e9ff6,06,N,20876
Pedestrian,6539001d-c5cf-484f-94cc-b5a2694df227,CTX396001T,100,Cross/Enter at Intersection,19,OCEAN CITY,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,d3fd3528-8675-46a1-992e-c43724c10a04,06,N,21842
Pedestrian,92703a2d-f27a-47e1-b5ba-609068befbf2,EJ7907000Z,100,Cross/Enter at Intersection,45,GAITHERSBURG,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,b7edc032-f2ed-4b11-9678-f16df3f63fe2,06,N,20878
Pedestrian,49d1c186-54ca-4f64-9b25-e11544597f0c,ADK868002P,100,Cross/Enter at Intersection,55,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,34f8180a-96b2-44b9-89ac-69d67ded8207,06,N,21207
Pedestrian,a1c07ba4-9ce4-4c49-ac54-ea745f798da8,ADK796001F,100,Cross/Enter at Intersection,55,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,06f5e957-7666-4751-8f61-7f8ba890f0fc,06,N,21217
Pedestrian,afe45774-5e17-4e8f-9096-54d21969cb9b,JCP1440005,100,Cross/Enter at Intersection,55,BALTIMORE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,f5a6d97f-ba37-4350-8992-3dedb533b9f4,06,N,21229
Pedestrian,ca841490-2f88-4c8f-8ed9-55b0ea9091b4,DA33510017,100,Cross/Enter at Intersection,73,BELTSVILLE,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3b2a2911-9fd0-4962-af5b-4a33a98aaf14,06,N,20705
Pedestrian,80176a87-f4c0-48f3-beae-39023ce0afcc,MCP34020026,100,Cross/Enter at Intersection,17,TAKOMA PARK,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,e8f17471-a5ec-4c55-b70a-470be3582598,06,N,20912
Pedestrian,7c53bdc3-a33b-415b-9519-e85e242006ce,MDTA09930006,100,Cross/Enter at Intersection,55,RANDALLSTOWN,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,05,Midblock – Marked Crosswalk,99,Unknown,MD,f0c8350b-21a7-4244-b76b-d858b51a7689,06,N,21133
Scooter (electric),f5472fee-fade-449d-8f27-f7eb417c4455,AE575600GH,100,Cross/Enter at Intersection,33,OWINGS MILLS,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,07042cef-cc12-4d70-b178-e06fdaef04fe,102,N,21117
Cyclist (non-electric),2db999b8-b315-4fcf-900a-3432cfc6f615,DA43990003,101,Cross/Enter Not at Intersection,21,COLLEGE PARK,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,05,Midblock – Marked Crosswalk,99,Unknown,MD,a84ccfb7-675a-4a61-a040-9ff301b91215,101,N,20740
Pedestrian,d6ca7829-beed-418a-b6ea-c685be8346dc,DA4228004M,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),60,LANHAM,09,Left,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,d42eeadd-f968-480a-9d10-ea8e8a0d3a27,06,N,20706
