Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Pedestrian,aa8f58a1-81f2-4160-b99c-362e4a24d61d,AC1948002Z,100,Cross/Enter at Intersection,36,NORTH BETHESDA,09,Left,00,Not Distracted,,,M,01,No,01,Fatal Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,9e7225ad-5d54-46bc-a120-c3816008ba1a,06,N,20852
Pedestrian,08c83af0-c147-42a7-a3bf-8cd0f8c8ea8c,AC19480035,101,Cross/Enter Not at Intersection,53,GLEN BURNIE,09,Left,99,Unknown,99,Unknown,M,01,No,01,Fatal Injury,07,Travel Lane – Other Location,99,Unknown,MD,c9a1ddab-09e6-4c49-84ea-7cb97be8200a,06,N,21061
Pedestrian,8e8f7332-728d-4383-8f5f-2c2388aa807f,AC1948003D,102,Standing,44,SEVERN,06,Rear,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,99,Unknown,MD,04a9206e-ad13-4117-8498-6d912bd21087,06,N,21144
Cyclist (non-electric),7b489836-885f-4ffb-a43b-7db14e75ee39,AC194900H1,100,Cross/Enter at Intersection,15,SEVERNA PARK,03,Right,03,"Other Action (looking away from task, etc.)",05,Passenger/Other Non-Motorist,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,02,Transit,MD,e8d9c506-84d1-4abd-a047-3586117126fd,101,N,21146
Pedestrian,47ebe159-9a45-49fe-9db1-5bed18c6cd97,AC194900H8,101,Cross/Enter Not at Intersection,63,SEVERNA PARK,09,Left,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,08d3747c-69a0-498b-8841-a12860206d07,06,N,21146
Scooter (electric),be916932-dc81-4076-b869-2cd728354bc3,AC1950002M,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),17,ANNAPOLIS,09,Left,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,02,Transit,MD,1cd99955-bf8a-4a9b-bd5e-51e9d653860d,102,N,21401
Pedestrian,40c50e4b-80be-4d10-b294-63005cb171e7,AC196400HP,07,Walking/Cycling on Sidewalk,29,SEVERN,12,Front,00,Not Distracted,,,F,01,No,04,Possible Injury,98,Other,97,Not Applicable,MD,fc18cbca-0f2c-4265-89c2-fe4cafea2510,06,N,21144
Pedestrian,8271e883-3070-447d-9263-688d0c7c9767,AC20140021,101,Cross/Enter Not at Intersection,53,CHESTER,03,Right,00,Not Distracted,,,M,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,628e1184-ad85-43e7-82b8-525e0148b595,06,N,21619
Cyclist (non-electric),d292b9f6-2565-44e6-9e1a-ccf1298f79b1,AC2026007W,101,Cross/Enter Not at Intersection,13,MILLERSVILLE,03,Right,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,d306c3ca-9823-4b58-ae5c-7b19c1a64dd5,101,N,21108
Pedestrian,690ed326-4c24-4e9a-a0f3-6d781684e0f5,AC205300FB,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),64,GLEN BURNIE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,5a60c0bd-9b34-4e03-af3d-94c73cda1f6d,06,N,21060
Pedestrian,8bec8d74-4512-4ba7-a4a3-9fbebce5c712,AC205900FK,105,Other Working,30,GLEN BURNIE,09,Left,03,"Other Action (looking away from task, etc.)",07,"Other Distraction (animal, food, grooming)",M,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,6191f18f-97ef-47fe-9f99-efac34b490cc,06,N,21061
Pedestrian,ca8965f9-d3fa-4feb-a8d8-1fe36862e7f0,AC207300G1,00,None,37,GLEN BURNIE,09,Left,99,Unknown,99,Unknown,M,01,No,04,Possible Injury,98,Other,97,Not Applicable,MD,6356197b-9261-4c33-8034-92fed1cffe3a,06,N,21060
Unknown Type Of Non-Motorist,410a9561-f17f-4821-bc84-4660818a9dca,AC20890068,00,None,123,ANNAPOLIS,12,Front,00,Not Distracted,,,U,01,No,05,No Apparent Injury,98,Other,99,Unknown,MD,3a091d92-a591-46e4-8977-5575b31a76de,09,N,21401
